"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\binding\app_binding.dart", "Dart", 10, 1, 2, 13
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\core\api\api_errors.dart", "Dart", 29, 0, 9, 38
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\core\api\dio_crud.dart", "Dart", 94, 3, 5, 102
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\core\api\dio_exceptions.dart", "Dart", 50, 6, 4, 60
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\core\api\status_request.dart", "Dart", 10, 1, 1, 12
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\core\class\app_toast.dart", "Dart", 26, 0, 3, 29
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\core\functions\check_internet_connection.dart", "Dart", 12, 1, 1, 14
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\core\functions\validation.dart", "Dart", 38, 0, 3, 41
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\global\core\services\services.dart", "Dart", 19, 6, 3, 28
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\api\api_links.dart", "Dart", 29, 6, 4, 39
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\class\custom_icons.dart", "Dart", 18, 17, 4, 39
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\class\hive_box.dart", "Dart", 4, 1, 1, 6
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\class\hive_keys.dart", "Dart", 4, 1, 1, 6
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\constant\app_size.dart", "Dart", 12, 0, 4, 16
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\constant\app_statics.dart", "Dart", 61, 2, 2, 65
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\constant\arguments_names.dart", "Dart", 6, 0, 1, 7
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\constant\colors.dart", "Dart", 22, 5, 2, 29
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\constant\custom_icons.dart", "Dart", 8, 0, 4, 12
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\constant\images.dart", "Dart", 9, 0, 1, 10
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\constant\text_styles.dart", "Dart", 32, 2, 5, 39
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\functions\close_key_board.dart", "Dart", 4, 0, 1, 5
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\functions\convert_to_arabic_number.dart", "Dart", 13, 0, 1, 14
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\functions\hive_null_get.dart", "Dart", 7, 0, 2, 9
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\functions\language\get_language.dart", "Dart", 9, 0, 3, 12
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\functions\language\left_right_lang_align.dart", "Dart", 4, 0, 2, 6
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\functions\language\left_right_lang_pad.dart", "Dart", 22, 0, 2, 24
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\localization\ar_en_text.dart", "Dart", 357, 78, 22, 457
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\localization\localization.dart", "Dart", 7, 0, 2, 9
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\middleware\middleware.dart", "Dart", 20, 2, 2, 24
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\routes\routes.dart", "Dart", 130, 0, 3, 133
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\themes\dark\dark_theme_text.dart", "Dart", 23, 0, 4, 27
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\themes\light\light_theme_text.dart", "Dart", 26, 3, 4, 33
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\core\themes\theme.dart", "Dart", 67, 2, 3, 72
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\OnBoarding\controller\on_boarding_controller.dart", "Dart", 44, 0, 6, 50
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\OnBoarding\view\pages\OnBoarding.dart", "Dart", 82, 0, 4, 86
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\controller\account_controller.dart", "Dart", 84, 0, 5, 89
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\controller\account_web_view_controller.dart", "Dart", 57, 0, 10, 67
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\controller\edit_account_controller.dart", "Dart", 15, 0, 3, 18
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\controller\saved_images_controller.dart", "Dart", 86, 0, 5, 91
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\controller\tickets_page_controller.dart", "Dart", 47, 0, 4, 51
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\model\account_pages_model.dart", "Dart", 9, 0, 2, 11
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\model\enums\account_image_state.dart", "Dart", 1, 0, 1, 2
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\model\tickets_model.dart", "Dart", 11, 0, 2, 13
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\view\pages\account_page.dart", "Dart", 59, 0, 3, 62
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\view\pages\add_ticket_page.dart", "Dart", 130, 0, 3, 133
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\view\pages\edit_account_page.dart", "Dart", 114, 0, 3, 117
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\view\pages\in_app_web_view_page.dart", "Dart", 67, 2, 5, 74
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\view\pages\saved_images_page.dart", "Dart", 95, 0, 3, 98
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\view\pages\tickets_page.dart", "Dart", 106, 0, 3, 109
"c:\Users\atlas\Documents\Flutter Projects\proj\lib\local\modules\account\view\widgets\account_card.dart", "Dart", 79, 0, 2, 81
